OBJECTID,FLCoCs2019_COCNUM,FLCoCs2019_COCNAME,FLCoCs2019_Shape_Leng,CoCcsv_csv_CoCID,CoCcsv_csv_CoC_Area,CoCcsv_csv_CoC_Name,CoCcsv_csv_Contact,CoCcsv_csv_Address,CoCcsv_csv_Address2,CoCcsv_csv_CSZ,CoCcsv_csv_Website,CoCcsv_csv_Phone,CoCcsv_csv_Fax,CoCcsv_csv_Email,CoCcsv_csv_PIT2015,CoCcsv_csv_PIT2016,CoCcsv_csv_PIT2017,CoCcsv_csv_PIT2018,CoCcsv_csv_PIT2019,CoCcsv_csv_Sheltered,CoCcsv_csv_Unsheltered,CoCcsv_csv_Chronic2015,CoCcsv_csv_Chronic2016,CoCcsv_csv_Chronic2017,CoCcsv_csv_Chronic2018,CoCcsv_csv_Chronic2019,CoCcsv_csv_Vets2015,CoCcsv_csv_Vets2016,CoCcsv_csv_Vets2017,CoCcsv_csv_Vets2018,CoCcsv_csv_Vets2019,Shape__Area,Shape__Length
18,FL-509,"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",7.34888647201,FL-509,"Indian River, Martin, St. Lucie Counties CoC",Treasure Coast Homeless Services Council,Louise Hubbard,2525 St. Lucie Avenue,,"Vero Beach, FL 32960",www.tchelpspot.org,772-567-7790,772-567-5991,irhsclh@aol.com ,2412,2382,1732,1542,1499,154,1345,131,77,134,64,51,68,50,72,61,50,5755732041.75195,872708.655769611
19,FL-508,"Gainesville/Alachua, Putnam Counties CoC",8.48589915444,FL-508,"Alachua, Bradford, Gilchrist, Levy, Putnam Counties CoC",United Way of North Central FL,Mona Gil de Gibaja ,6031 NW 1st Place,,"Gainesville, FL 32607",www.unitedwayncfl.org,352-331-2800,,mgildegibaja@unitedwayncfl.org,870,844,819,756,804,302,502,395,265,284,272,261,217,123,126,114,126,12316014289.9121,1012230.82659151
20,FL-507,"Orlando/Orange, Osceola, Seminole Counties CoC",4.75029571666,FL-507,"Orange, Osceola, Seminole Counties CoC",Homeless Services Network of Central FL,Martha Are,4065 L.B. McLeod Road ,Unit 4065-D ,"Orlando, FL 32811",www.hsncfl.org,407-893-0133,407-893-5299,martha.are@hsncfl.org ,2112,1613,2074,2053,2010,1674,336,212,106,182,272,478,320,231,218,181,177,9572791240.88086,568739.605947498
21,FL-506,Tallahassee/Leon County CoC,11.3233589131,FL-506,"Franklin, Gadsden, Jefferson, Leon, Liberty, Madison, Taylor, Wakulla Counties CoC",Big Bend Continuum of Care,Amanda Wander ,2507 Callaway Road,Suite 200,"Tallahassee, FL 32303",www.bigbendcoc.org,850-792-5015,850-488-1616,awander@bigbendcoc.org ,863,869,1072,909,966,875,91,134,81,112,151,152,113,117,110,108,91,19586703412.6973,1333324.6588086
22,FL-505,"Fort Walton Beach/Okaloosa, Walton Counties CoC",6.16104439986,FL-505,"Okaloosa, Walton Counties CoC",Homelessness & Housing Alliance,Sarah Yelverton,P.O. Box 115,,"Ft. Walton Beach, FL 32549",www.hhalliance.org,850-362-7429,,sarah@hhalliance.org,683,629,401,495,399,165,234,305,306,92,119,269,117,37,27,30,21,7058460027.10938,727665.44418214
23,FL-504,"Deltona, Daytona Beach/Volusia, Flagler Counties CoC",6.20570371553,FL-504,"Flagler, Volusia Counties CoC",Volusia/Flagler County Coalition for the Homeless,Jeff White,P.O. Box 309,,"Daytona Beach, FL 32115-0390",www.vfcch.org,386-279-0029,386-279-0028,jwhite@vfcch.org,1325,1005,753,683,875,368,507,301,210,85,90,89,110,36,52,44,61,5852831546.41016,745723.907503258
24,FL-503,"Lakeland, Winterhaven/Polk County CoC",3.79781094346,FL-503,Polk County CoC,Homeless Coalition of Polk County,Laura Lee Gwinn,328 W Highland Drive,,"Lakeland, FL 33813",www.polkhomeless.org,863-687-8386,863-802-1436,lgwinn@polkhomeless.org,464,635,512,552,563,449,114,100,88,77,84,80,44,42,35,26,38,6698148692.36523,446191.012292735
25,FL-502,"St. Petersburg, Clearwater, Largo/Pinellas County CoC",7.09368619336,FL-502,Pinellas County CoC,Pinellas County Homeless Leadership Board,Susan Myers,"647 1st Avenue, North",,"St. Petersburg, FL 33701",www.pinellasHLB.org,727-582-7916, 727-528-5764,smyers@pinellasHLB.org,3387,2777,2831,2612,2415,1581,834,633,607,690,434,722,589,380,329,281,316,975566645.607422,843090.886582212
26,FL-501,Tampa/Hillsborough County CoC,4.7518670337,FL-501,Hillsborough County CoC,Tampa Hillsborough Homeless Initiative,Antoinette Hayes-Triplett,601 East Kennedy Boulevard,24th Floor,"Tampa, FL 33602",www.thhi.org,813-223-6115,813-223-6178,tripletta@thhi.org,1931,1817,1549,1795,1650,978,672,315,254,235,262,264,313,181,172,171,149,3574342807.75977,557550.668608727
27,FL-500,Suncoast Partnership to End Homelessness,,FL-500,"Manatee, Sarasota Counties CoC",Suncoast Partnership to End Homelessness,Tara Booker,"1750 17th Street, Bldg. C-1",,"Sarasota, FL 34234",www.suncoastpartnership.org,941-955-8987,941-209-5595,tara@suncoastpartnership.org,1198,1468,1447,1192,1135,735,400,219,311,285,250,246,152,161,149,108,111,4164609518.17773,628674.013055307
